DATE,REASON,ALTTIME,SPECIAL,SPEAKER,INSTITUTION,WEBSITE,TITLE,ABSTRACT
2015/09/21,,,,"Rob Thompson","CUNY","http://math.hunter.cuny.edu/thompson/","An unstable change of rings for Morava $E$-theory","The Bousfield-Kan (or unstable Adams) spectral sequence can be constructed for various homology theories such as Brown-Peterson homology $BP$, Johnson-Wilson theory $E(n)$ or Morava $E$-theory $E_n$. For nice spaces the $E_2$-term is given by $\mathrm{Ext}$ in a category of unstable comodules. We establish an unstable Morava change of rings isomorphism between $\mathrm{Ext}_{\mathcal{U}_{BP_*BP}}(BP_*,M)$ and $\mathrm{Ext}_{\mathcal{U}_{{E_n}_*E_n}}({E_n}_*,{E_n}_*\otimes_{BP_*}M)$ for unstable $BP_*BP$-comodules that are $v_n$-local and satisfy $I_nM=0$. We show that the latter can be interpreted as Ext in the category of comodules over a certain bialgebra. This has implications for the convergence of the Bousfield-Kan spectral sequence."
2015/09/14,,,,"Martin Gallauer Alves de Souza","UCLA","http://user.math.uzh.ch/gallauer/","Traces and homotopy colimits","J.P. May proved that traces in stable monoidal homotopy categories are additive in cofiber sequences. It is then natural to ask about the interaction of traces and homotopy colimits in general. In this talk we will give an answer for homotopy colimits indexed over EI-categories. The proof involves generalizing the notion of trace from the realm of categories to derivators. It will be sketched if time permits."
2010/02/08,,,,"Simona Paoli","Penn State Altoona",,"Homotopical properties of a weakly globular model of homotopy types","Homotopy $n$-types are an important class of topological spaces: they amount to CW complexes whose homotopy groups vanish in dimension higher than $n$. The problem of modeling homotopy types is relevant both in higher category theory and homotopy theory and received contributions from both areas. There is a particularly simple model of homotopy types in the path connected case, consisting of n-fold categories internal to groups, also called $cat^n$-groups. This model, however, has the disadvantage that is it does not have an algebraic description of the Postnikov decomposition nor it is easy to establish algebraically when a map of $cat^n$-groups is a weak equivalence.  

In this talk we introduce a new model of connected $n$-types through a subcategory of $cat^n$-groups, which we call weakly globular, for which the above issues are resolved in transparent way. We also describe other homotopical properties of this model, and discuss the relevance of these structures for higher category theory. "
2010/03/01,,,,"Mark Behrens","MIT",,"The homotopy groups of the $E(2)$-local sphere, revisited","Shimomura and Yabe computed the homotopy groups of the $E(2)$-local sphere at primes greater than or equal to $5$.  However, their computation is difficult to understand.  I will describe a conceptual way to understand the answer, and the computation.  The goal is to make the answer as concrete as the image of the $J$ homomorphism.  We'll see of this goal is achieved..."
2010/03/08,,,,"Andrew Salch","Johns Hopkins University",,"$v_2$ and $v_4$","We discuss some new methods for computing the cohomology of Morava stabilizer groups at large heights. We apply these methods to compute a good approximation to the cohomology of the 5-primary height 4 stabilizer group, giving us some interesting information about $v_4$-periodic stable homotopy groups of spheres, and we discuss what is involved in computing the entire cohomology of the Morava stabilizer group for heights 4 and up."
2010/03/15,,,,"Rob Thompson","CUNY",,"$v_n$-periodic $\Pi$ algebras","A $\Pi$-algebra is a sequence of groups, along with an action of the primary homotopy operations, which are indexed by homotopy groups of wedges of spheres.  It is natural to view the homotopy groups of a space as an object in the category of $\Pi$-algebras.  The $v_n$-periodic homotopy groups of a space are obtained by inverting non-nilpotent self maps of finite complexes.  In this talk I will investigate $v_n$-periodic $\Pi$-algebras."
2010/03/29,,,,"Gonçalo Tabuada","Universidade Nova de Lisboa",,"Non-commutative motives","In this talk I will describe the construction of the category of non-commutative motives $[1,2,3]$ in Drinfeld-Kontsevich's non-commutative algebraic geometry program. In the process, I will present the first conceptual characterization of Quillen's higher K-theory since Quillen's foundational work in the 70's. As an application, I will show how these results allow us to obtain for free the higher Chern character from K-theory to cyclic homology.

References:

[1] D.-C. Cisinski and G. Tabuada, Symmetric monoidal structure on
Non-commutative motives. Available at arXiv:1001.0228.

[2] D.-C. Cisinski and G. Tabuada, Non-connective K-theory via universal
invariants. Available at arXiv:0903.3717.

[3] G. Tabuada, Higher K-theory via universal invariants. Duke Math.
Journal, 145 (2008), no.1, 121-206.
2010/03/30,,,,"Matthew Gelvin","MIT",,"Fusion Action Systems","Fusion systems, an abstraction of the $p$-local structure of finite groups, lie in the intersection of algebraic topology and finite group theory.  In this talk I detail a ``theory of fusion systems with many objects,'' generalizing fusion system theory to imitate actions of a finite group on a finite set. This generalization will come in three stages:  as a simple condition to be put on a finite $p$-group-set, as algebraic structure added to the fusion system, and finally as an additional layer of structure necessary to construct classifying spaces and do homotopy theory."
2010/04/05,,,,"Fabien Morel","Ludwig-Maximilians-Universität",,"An $A^1$-homological criterium for the rigidity property","This is one of the main technical step in the proof of the Friedlander-Milnor conjecture, and uses a lot of ``classical'' topological arguments (lower central series, $A^1$-derived functors of the free Lie algebra functors, devissage of the Lie algebra functor in terms of other polynomial functors."
2010/04/13,,,,"Angélica Osorno","MIT",,"An Infinite Loop Space Structure for $K$-theory of Bimonoidal Categories","In recent work of Baas-Dundas-Richter-Rognes, the authors introduce the notion of the $K$-theory of a bimonoidal category $R$, and show that it is equivalent to the algebraic $K$-theory space of the ring spectrum $HR$. In this thesis we show that $K(R)$ is the group completion of the classifying space of the 2-category $Mod_R$ of modules over $R$, and show that $Mod_R$ is a symmetric monoidal 2-category. We explain how to use this symmetric monoidal structure to produce a $\Gamma$-(2-category), which gives an infinite loop space structure on $K(R)$. We show that the equivalence mentioned above is an equivalence of infinite loop spaces."
2010/04/26,,,,"Martin Frankland","MIT",,"Quillen cohomology of $\Pi$-algebras and application to their realization","A $\Pi$-algebra is a graded group with additional structure that makes it look like the homotopy groups of a space. Given one such object $A$, one may ask if it can be realized topologically: Is there a space $X$ such that $\pi_*X$ is isomorphic to $A$ as a $\Pi$-algebra, and if so, can we classify them?

Work of Blanc-Dwyer-Goerss provided an obstruction theory to realizing a $\Pi$-algebra $A$, where the obstructions (to existence and uniqueness) live in certain Quillen cohomology groups of $A$. What do these groups look like, and can we compute them?

We will tackle this question from the algebraic side, focusing on Quillen cohomology of truncated $\Pi$-algebras. We will then use the obstruction theory to obtain results on the classification of certain 2-stage homotopy types, and compare them to what is known from other approaches."
2010/04/27,,,,"Martin Frankland","MIT",,"Quillen cohomology of $\Pi$-algebras and application to their realization","A $\Pi$-algebra is a graded group with additional structure that makes it look like the homotopy groups of a space. Given one such object $A$, one may ask if it can be realized topologically: Is there a space $X$ such that $\pi_*X$ is isomorphic to $A$ as a $\Pi$-algebra, and if so, can we classify them?

Work of Blanc-Dwyer-Goerss provided an obstruction theory to realizing a $\Pi$-algebra $A$, where the obstructions (to existence and uniqueness) live in certain Quillen cohomology groups of $A$. What do these groups look like, and can we compute them?

We will tackle this question from the algebraic side, focusing on Quillen cohomology of truncated $\Pi$-algebras. We will then use the obstruction theory to obtain results on the classification of certain 2-stage homotopy types, and compare them to what is known from other approaches."
2010/05/03,,,,"David Gepner","UIC",,"Delooping the space of units of a commutative ring spectrum",""
2010/05/10,,,,"John Palmieri","University of Washington",,"Algebraic topology vs. Sage","The computer software package Sage (\texttt{www.sagemath.org}) understands some basic constructions from algebraic topology: it understands simplicial complexes, cubical complexes, and it seems to be the only major mathematical software package with an implementation of $\Delta$-complexes. It can perform basic operations like joins, products, and connected sums. It can compute homology and cohomology over the integers or over a field. In this talk, we will discuss and demonstrate some of these capabilities, present some related unsolved problems, and discuss future directions."
2010/09/13,,,,"Thomas Kragh","University of Oslo; MIT",,"Nearby Lagrangians ","The first part of this talk is basic definitions and 
statement of the Nearby Lagrangian Conjecture (NLC).  I will then go on 
describing previous results relating to my talk especially that of Viterbo 
in 1998 and that of Fukaya, Seidel and Smith in 2007 (refined this year by 
Abouzaid to a very strong result in the case of vanishing Maslov class).  
I will then describe an approach using fibered spectra which partly 
unifies the two rather different approaches and then state new results in 
the general case (non-vanishing Maslov class) following from a product 
structure on a fibered spectrum combined with the intersection product on 
the base manifold (probably relatable to the pair of pants product and a 
twisted version of the Chas-Sullivan product)."
2010/09/20,,,,"David Spivak","MIT",,"Categorical informatics","In this talk I will give a brief survey of what I call ``categorical 
informatics,'' which is the study of information and communication from a 
category-theoretic perspective.  In order to begin such a study, one must 
ground it in something concrete.  To that end, I'll explain a simple 
categorical model of databases, which are real-world store-houses of 
organized information.

I will then discuss information transfer between databases and move on to 
define a more general notion of communication networks.  Briefly, a 
communication network is a simplicial complex (of interacting groups) 
equipped with a sheaf of databases (common languages) on its simplices.  I 
will show how this same structure can be pared down to give a categorical 
model for combining information obtained from various sources.  I'll end 
by showing some interesting consequences of the topological nature of this 
model."
2010/09/27,,,,"Chris Schommer-Pries","MIT",,"Dualizability and Locality in 3D Topological Field Theory","In this talk I will report 
on recent work, joint with Christopher Douglas and Noah Snyder, on 
understanding the nature of fully extended (a.k.a. local) 3-dimensional 
topological quantum field theories.  Specifically, we show that fusion 
categories are fully-dualizable objects in the 3-category of tensor 
categories, a natural categorification of the bicategory of algebras, 
bimodules, and bimodule maps.  Fusion categories themselves are well-known 
are arise in several areas of mathematics and physics -- conformal field 
theory, operator algebras, representation theory of quantum groups, and 
others.  In light of Hopkins and Lurie's work on the cobordism hypothesis, 
this provides a fully local TQFT for arbitrary fusion categories.  
Moreover, we will discuss how many familiar structures from the theory of 
fusion categories are given a natural explanation from this point of 
view."
2010/10/04,,,,"Ieke Moerdijk","Utrecht",,"To what extent are Lie groupoids like Lie groups?","Lie groupoids (and Lie 
algebroids) play an increasingly important role in foliation theory, 
symplectic and Poisson geometry, and non-commutative geometry.  In this 
lecture, I will explain how some basic properties of Lie groups extend to 
groupoids, and how some other properties don't."
2010/10/18,,,,"Kyle Ormsby","MIT",,"Equivariant motivic homotopy and the completion problem for Hermitian K-theory","I will discuss the 
(motivic, or $A^1$) homotopy theory of $G$-equivariant schemes, 
$G$ a finite group.  Stabilizing with respect to regular representation of 
spheres produces a good stable theory which, in the case $G=Z/2$, 
contains motivic analogues of Atiyah's Real K-theory and Araki's Real 
cobordism over arbitrary characteristic $0$ base fields.  The algebraic 
Real $K$-theory spectrum is closely related to Hermitian $K$-theory 
(a.k.a. higher Grothendieck-Witt theory).  Tools from stable equivariant 
topology like the Tate diagram and slice spectral sequence allow us to 
resolve the completion (or homotopy limit) problem for the Hermitian 
$K$-theory of fields."
2010/11/01,,,,"Kate Ponto","Kentucky",,"Fixed points and traces","The Lefschetz fixed point theorem gives a sufficient 
condition for a continuous endomorphism to have a fixed point: If the 
Lefschetz number of a continuous endomorphism of a closed smooth manifold 
is nonzero, that endomorphism has a fixed point.  Usually no conclusions 
can be drawn if the Lefschetz number is zero, but with some (restrictive) 
hypotheses, there is a converse.  I will describe an approach to the 
converse of the Lefschetz fixed point theorem using traces that also gives 
converses to the equivariant and fiverwise Lefschetz fixed point 
theorems."
2010/11/08,,,,"Kirsten Wickelgren","Harvard",,"2 nilpotent real section conjecture","We show a 2-nilpotent section conjecture over 
$R$: for a smooth curve $X$ over $R$ with negative Euler 
characteristic, $\pi_0(X(R))$ is determined by the maximal 
2-nilpotent quotient of the fundamental group with its Galois action, as 
the kernel of an obstruction of Jordan Ellenberg.  This implies that the 
set of real points equipped with a real tangent direction of the smooth 
compactification of $X$ is determined by the maximal 2-nilpotent quotient 
of $Gal(C(X))$ with its 
$Gal(R)$ action, showing a 2-nilpotent birational 
real section conjecture."
2010/11/15,,,,"Srinikanth Iyengar","Nebraska",,"Colocalizing subcategories of the stable module category of (possibly infinite dimensional) modules over a finite group","I will describe recent work 
with Dave Benson and Henning Krause wherein we classify colocalizing 
subcategories of StMod(kG), for a finite group G, in the spirit of earlier 
work by Hopkins, Neeman, and Benson, Carlson, and Rickard on thick 
subcategories and localizing subcategories in various contexts.  A central 
result in our work is a criteria for the vanishing of a function object, 
$Hom_k(M,N)$, in StMod(kG), in terms of geometric data (to be precise: 
support and cosupport) associated to M and N, via local cohomology and 
completion functors on the stable module category."
2010/11/22,,,,"David Ayala","Harvard",,"A combinatorial $E_n$ operad","I will propose a simple and combinatorial 
$E_n$-operad which is built out of finite posets indexing a stratification 
of configuration spaces of points in an $n$-disk.  This poset is 
constructed from a category $\theta_n$ which has recently become an 
important player for modeling weak $n$-categories (Joyal, Berger, Rezk).  
The techniques involved use the formalism of quasi-categories (Lurie).  This project is joint with Richard Hepworth (Copenhagen) and is a work in progress.

One (nearly achieved) goal is to directly and geometrically relate three 
well-developed methods for recognizing $n$-fold loop spaces: as certain 
algebras over the little $n$-disk operad, as certain algebras over the 
Barratt-Eccles $E_n$ operad (via the Smith filtration), and as certain 
presheaves on $\theta_n$ (Berger).  A version of Dunn's additivity theorem 
becomes a formal consequence of the setup.  A farther away goal is to 
imitate the construction of topological chiral homology using this proposed $E_n$-operad.  This should have the benefit of making topological chiral homology (and possibly other field theories) more prepared for computations."
2010/11/29,,,,"Robin Koytcheff","Brown",,"A homotopy-theoretic view of Bott-Taubes integrals and knot spaces","Bott 
and Taubes considered a bundle over the space of knots whose fiber is a 
compactified configuration space, and they constructed knot invariants by 
performing integration along the fiber of this bundle.  Their method was 
subsequently used to construct real cohomology classes in spaces of knots 
in $R^n$, $n>3$.  Replacing integration of differential forms by a 
Pontrjagin-Thom construction, I have constructed cohomology classes with 
arbitrary coefficients.  Motivated by work of Budney and F. Cohen on the 
homology of the space of long knots in $R^3$, I have also proven a 
product formula for these classes with respect to connect-sum.  If time 
permits, I will mention some progress towards further understanding these 
classes using a cosimplicial model for knot spaces coming from the 
Goodwillie-Weiss embedding calculus."
2010/12/06,,,,"Mark Walker","Nebraska",,"What is the algebraic K-theory of a monoid?","This is joint work with Guillermo 
Cortinas, Christian Hassemeyer and Chuck Weibel.  Let $A$ be a commutative 
monoid and $k$ a field.  What part of the algebraic K-theory of the 
monoid-ring $k[A]$ comes from just the monoid and is independent of the 
field $k$?  I describe a partial answer to this question, one which 
involves topological cyclic homology, toric varieties, and Voevodsky's cdh 
topology.  I will also explain how our answer leads to a proof of 
Gubeladze's ``nilpotence'' conjecture for the algebraic K-theory of toric 
varieties in arbitrary characteristic."
2010/12/07,,,,"Kevin Costello","Northwestern",,"Some remarks on elliptic genera",""
2011/02/07,,,,"John Harper","University of Western Ontario",,"On a finiteness theorem and Quillen homology completion for","We prove a finiteness theorem relating finiteness properties
of topological Quillen homology groups and homotopy groups --- this
result should be thought of as an algebras over operads in spectra
analog of Serre's finiteness theorem for the homotopy groups of
spheres. We describe a rigidification of the derived cosimplicial
resolution with respect to topological Quillen homology, and use this
to define Quillen homology completion --- in the sense of
Bousfield-Kan --- for algebras over operads in symmetric spectra. We
prove that under appropriate connectivity conditions, the
coaugmentation into Quillen homology completion is a weak
equivalence --- in particular, such algebras over operads can be
recovered from their topological Quillen homology. Many of the results
described are joint with K. Hess."
2011/02/14,,,,"Michael Ching","University of Georgia",,"A classification of Taylor towers for functors of spaces and spectra","I'll talk about joint work with Greg Arone to describe the data needed
to reconstruct the Taylor tower of a functor from its layers. That
data consists of a bimodule over the derivatives of the relevant
identity functors, together with a coaction of a particular cotriple
on the category of bimodules. I'll describe what we know about this
cotriple for functors of based spaces and/or spectra."
2011/02/28,,,,"Tyler Lawson","University of Minnesota",,"Relative Picard and Brauer groups","Picard and Brauer groupoids, which capture information about
invertible modules and central simple algebras, are objects of
classical interest in algebra and number theory.  The calculation of
these objects is often aided by the use of Galois cohomology.  We will
discuss the generalizations to ring spectra, due to
Hopkins-Mahowald-Sadofsky and Baker-Richter respectively.  We then
discuss how to compute these using Galois cohomology in higher
category theory.  (This talk based on joint work with David Gepner.)"
2011/03/07,,,,"Teena Gerhardt","Michigan State University",,"Cyclotomic spectra and computations in algebraic K-theory","In this talk I will describe joint work with Vigleik Angeltveit, Mike Hill,
and Ayelet Lindenstrauss, yielding new computations of algebraic K-theory
groups. In particular, we consider the K-theory of truncated polynomial
algebras in several variables. Techniques from equivariant stable homotopy
theory are often key to algebraic K-theory computations. In this case we use
n-cubes of cyclotomic spectra to compute the topological cyclic homology,
and hence K-theory, of the rings in question."
2011/03/28,,,,"Justin Thomas","University of Notre Dame",,"Kontsevich's swiss cheese conjecture"," We prove a conjecture of Kontsevich which states that if $A$ is an $E_{d-1}$
 algebra then the Hochschild cohomology object of $A$ is the universal $E_d$
 algebra acting on $A$. The notion of an $E_d$ algebra acting on an $E_{d-1}$
 algebra was defined by Kontsevich using the swiss cheese operad of Voronov.
 We prove a homotopical property of the swiss cheese operad from which the
 conjecture follows."
2011/04/04,,,,"Don Davis","Lehigh University",,"Nonimmersions of real projective spaces and tmf","We use the spectrum tmf to obtain new nonimmersion results
for many real projective spaces $RP^n$ for n as small as 113.
The only new ingredient is some new calculations of tmf-cohomology
groups. We present an expanded table of nonimmersion results.
We also present several questions about tmf."
2011/04/11,,,,"Aravind Asok","University of Southern California",,"Some low-dimensional examples in $A^1$-homotopy theory","We will discuss connectedness in unstable $A^1$-homotopy theory,
focusing on some examples.  We will also discuss the classification of low
dimensional $A^1$-connected smooth proper varieties and its some similarities
to and differences from the corresponding topological classifications."
2011/04/29,,,,"Nick Rozenblyum","MIT",,"Connections on Conformal Blocks","For an algebraic group $G$ and a projective curve $X$, we study the category of $D$-modules on the moduli space $Bun_G$  of principal $G$-bundles on $X$ using ideas from conformal field theory.  We describe this category in terms of the action of infinitesimal Hecke functors on the category of quasi-coherent sheaves on $Bun_G$.  This family of functors, parametrized by the Ran space of $X$, act by averaging a quasi-coherent sheaf over infinitesimal modifications of $G$-bundles at prescribed points of $X$.  We show that sheaves which are, in a certain sense, equivariant with respect to infinitesimal Hecke functors are exactly $D$-modules, i.e. quasi-coherent sheaves with a flat connection.  This gives a description of flat connections on a quasi-coherent sheaf on $Bun_G$ which is local on the Ran space."
2011/05/02,,,,"Gereon Quick","Harvard University",,"Homotopy fixed points of profinite spectra",""
2011/05/03,,,,"Aravind Asok","University of Southern California",,"Some low-dimensional examples in $A^1$-homotopy theory","We will discuss connectedness in unstable $A^1$-homotopy theory,
focusing on some examples.  We will also discuss the classification of low
dimensional $A^1$-connected smooth proper varieties and its some similarities
to and differences from the corresponding topological classifications."
2011/06/06,,,,"Craig Westerland","University of Melbourne",,"Hochschild homology of structured algebras: Vanishing results associated with the Costello construction of TCFT's on Hochschild homology",""
2011/07/05,,,,"Clemens Berger","Université de Nice",,"The Lattice Path Operad and Hochschild Cochains",""
2011/07/12,,,,"Michael Ching","Amherst College",,"Functors from spaces to spectra and the little disc operads","Greg Arone and I have been trying to understand the structure that exists on
the derivatives of a functor in the sense of Goodwillie calculus. Previously
we have shown that these derivatives possess the structure of a coalgebra
over a certain comonad on the category of symmetric sequences. In this talk
I'll try to describe in more depth what this structure amounts to for
functors from based spaces to spectra. Specifically I'll relate these
coalgebras to right modules over the (Koszul duals of) the little disc
operads. This is all joint work with Greg, with substantial input also from
Bill Dwyer."
2011/07/19,,,,"John Harper","University of Western Ontario",,"Quillen homology completion and strong convergence of the","Quillen's derived functor notion of homology provides
interesting and useful invariants in a variety of homotopical
contexts, and includes as special cases (i) singular homology of
spaces, (ii) homology of groups, and (iii) Andre-Quillen homology of
commutative rings. Working in the topological context of symmetric
spectra, we study topological Quillen homology of commutative ring
spectra, $E_n$ ring spectra, and more generally, algebras over any
operad $O$ in spectra. Using a QH-completion construction---analogous to
the Bousfield-Kan R-completion of spaces---we prove under appropriate
conditions (a) strong convergence of the associated homotopy spectral
sequence, and (b) that connected O-algebras are QH-complete---thus
recovering the O-algebra from its topological Quillen homology plus
extra structure. A key problem in usefully describing this extra
structure was solved recently using homotopical ideas in joint work
with Kathryn Hess that describes a rigidification of the derived
comonad that coacts on the object underlying topological Quillen
homology, and plays the analogous role (in symmetric spectra) of the
Koszul cooperad associated to a Koszul operad in chain complexes. This
talk is an introduction to these results with an emphasis on proving
(a) and (b) which is joint work with Michael Ching."
2011/08/02,,,,"Gabriel Katz","MIT",,"Morse Theory,  gradient flows, concavity, and complexity on manifolds with boundary","Let $f: X \rightarrow \mathbb{R}$ be a Morse function on a manifold $X$ and $v$ its gradient-like vector field. Classically, the topology of a closed $X$ can be described in terms of the spaces of v-trajectories that link the singular points of $f$. On manifolds with boundary, the situation is somewhat different: there, a massive set of nonsingular functions is available. For such Morse data $(f, v)$, the interactions of the gradient flow with the boundary dX take central stage. We will introduce and measure the convexity and concavity of a $v$-flow relative to $dX$. ``Some manifolds are intrinsically more concave than others with respect to any gradient flow'' is the main slogan of the talk. Stated differently, the intrinsic concavity of $X$ is a reflection of its complexity. We will explain how this approach leads to new topological invariants, both of the flow $v$ and of the manifold $X$. In 3D, we have a good grasp of these invariants and their connection to the classification of 3-folds."
2011/08/09,,,,"Matthew Gelvin","University of Copenhagen",,"What is a $p$-local finite group?","Fusion systems are an algebraic description of the $p$-local structure of a finite group.  A centric linking system is the algebraic data needed to construct a topological classifying space for a fusion system; recent work of Andy Chermak shows that in fact, every saturated fusion system has a unique associated centric linking system.  The collection of these data is what is known as a $p$-local finite group.

In this talk, I will try to give some insight about the structure of $p$-local finite groups.  I will also give a brief discussion of the more topological notion of retractive transfer triple, which appears to be equivalent to the data of a $p$-local finite group."
2011/09/12,,,,"Vesna Stojanoska","MIT",,"Duality for Topological Modular Forms","It has been observed that certain localizations of the spectrum of topological modular forms tmf are self-dual (Mahowald-Rezk, Gross-Hopkins). We provide an integral explanation of these results that is internal to the geometry of the (compactified) moduli stack of elliptic curves $\mathcal{M}_{\text{ell}}$ yet is only true in the derived setting. When $p$ is inverted, choice of level-$p$-structure for an elliptic curve provides a geometrically well-behaved cover of $\mathcal{M}_{\text{ell}}$, which allows one to consider tmf as the homotopy fixed points of tmf($p$), topological modular forms with level-$p$-structure, under a natural action by $\text{GL}_{2}(\mathbb{Z}/p)$. Specializing to $p=2$ or $p=3$ we obtain that as a result of Grothendieck-Serre duality, tmf($p$) is self dual. The vanishing of the associated Tate spectra then makes tmf itself  Anderson self-dual."
